feature,importance_mean,importance_std,importance_values
313.2,0.06963074604370767,0.0027831477486992173,"[0.06706857573474012, 0.0685757347400151, 0.0685757347400151, 0.06480783722682748, 0.07309721175584027, 0.07234363225320273, 0.07083647324792774, 0.06706857573474012, 0.07385079125847782, 0.0700828937452902]"
315.2,0.027882441597588604,0.004236162568969158,"[0.03014318010550121, 0.02788244159758857, 0.03165033911077619, 0.029389600602863664, 0.029389600602863664, 0.029389600602863664, 0.019593067068575776, 0.02110022607385087, 0.033911077618688834, 0.026375282592313587]"
315,0.024717407686510973,0.003579304321639151,"[0.026375282592313587, 0.022607385079125852, 0.027128862094951023, 0.026375282592313587, 0.024114544084400946, 0.028636021100226117, 0.017332328560663246, 0.019593067068575776, 0.02788244159758857, 0.027128862094951023]"
389,0.007761868877166578,0.002900057483782052,"[0.009042954031650341, 0.009042954031650341, 0.0037678975131877346, 0.010550113036925435, 0.008289374529012905, 0.009796533534287888, 0.012810851544838076, 0.005275056518462717, 0.0045214770158251705, 0.0045214770158251705]"
292,0.00527505651846274,0.003197167058869093,"[0.007535795026375358, 0.009796533534287888, 0.005275056518462717, 0.006028636021100264, 0.0022607385079126407, 0.0045214770158251705, 0.006028636021100264, 0.005275056518462717, 0.008289374529012905, -0.0022607385079125297]"
313,0.00474755086661649,0.0017200771982687723,"[0.006028636021100264, 0.0045214770158251705, 0.008289374529012905, 0.0030143180105501877, 0.0037678975131877346, 0.006028636021100264, 0.006028636021100264, 0.0037678975131877346, 0.0022607385079126407, 0.0037678975131877346]"
367,0.0019593067068576107,0.0012699547510439215,"[0.0045214770158251705, 0.0022607385079126407, 0.0030143180105501877, 0.0022607385079126407, 0.0007535795026375469, 0.0, 0.0030143180105501877, 0.0015071590052750938, 0.0007535795026375469, 0.0015071590052750938]"
381,0.0009042954031650785,0.003103430336393969,"[0.006028636021100264, 0.0, 0.0015071590052750938, 0.005275056518462717, -0.0030143180105500766, 0.0015071590052750938, -0.0022607385079125297, -0.0022607385079125297, 0.0037678975131877346, -0.0015071590052749828]"
367.8,0.00022607385079128627,0.0008948260804097882,"[-0.0007535795026374359, 0.0015071590052750938, 0.0, 0.0, 0.0, 0.0022607385079126407, 0.0, -0.0007535795026374359, 0.0, 0.0]"
333.3,1.1102230246251566e-17,0.00033701099886958253,"[-0.0007535795026374359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007535795026375469]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
315.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,-7.535795026374359e-05,0.00022607385079123076,"[0.0, 0.0, 0.0, 0.0, -0.0007535795026374359, 0.0, 0.0, 0.0, 0.0, 0.0]"
292.1,-0.0015825169555387596,0.0013246718787676736,"[-0.0007535795026374359, -0.0015071590052749828, -0.0015071590052749828, -0.0007535795026374359, -0.0022607385079125297, -0.0045214770158251705, 0.0, -0.0030143180105500766, 0.0, -0.0015071590052749828]"
389.2,-0.002411454408440039,0.0009997361839805521,"[-0.0015071590052749828, -0.0022607385079125297, -0.0022607385079125297, -0.0037678975131876236, -0.0022607385079125297, -0.0007535795026374359, -0.0022607385079125297, -0.0022607385079125297, -0.0045214770158251705, -0.0022607385079125297]"
