feature,importance_mean,importance_std,importance_values
315.2,0.12656132430398798,0.008220617176070843,"[0.13318284424379234, 0.11512415349887128, 0.12641083521444696, 0.13167795334838228, 0.13769751693002263, 0.1249059443190369, 0.11813393528969152, 0.12791572610985702, 0.1369450714823175, 0.11361926260346122]"
313.2,0.0392776523702032,0.0035099785672507446,"[0.034612490594431944, 0.034612490594431944, 0.04364183596689242, 0.04213694507148236, 0.04138449962377733, 0.040632054176072296, 0.04364183596689242, 0.040632054176072296, 0.035364936042136974, 0.036117381489842004]"
381,0.005191873589164797,0.0029994178221210994,"[0.008276899924755443, 0.006772009029345383, 0.0007524454477050302, -0.0007524454477050302, 0.009029345372460473, 0.0060195635816403525, 0.003762227238525262, 0.006772009029345383, 0.006772009029345383, 0.004514672686230292]"
381.1,0.0032355154251316855,0.0033826586595920253,"[0.006772009029345383, 0.0060195635816403525, -0.0015048908954100604, -0.0030097817908201208, 0.006772009029345383, 0.0030097817908201208, 0.0015048908954100604, 0.004514672686230292, 0.006772009029345383, 0.0015048908954100604]"
315,0.0006019563581640463,0.00387783257388266,"[0.0060195635816403525, -0.0015048908954100604, -0.0022573363431150906, -0.005267118133935322, 0.006772009029345383, 0.0, -0.003762227238525151, 0.004514672686230292, 0.0, 0.0015048908954100604]"
292.1,0.00022573363431150907,0.0006772009029345271,"[0.0, 0.0, 0.0, -0.0007524454477050302, 0.0007524454477050302, 0.0007524454477050302, -0.0007524454477050302, 0.0015048908954100604, 0.0, 0.0007524454477050302]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
315.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
333.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
367.8,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
292,-0.00030097817908201205,0.0003686214812314736,"[0.0, -0.0007524454477050302, 0.0, 0.0, -0.0007524454477050302, 0.0, 0.0, -0.0007524454477050302, -0.0007524454477050302, 0.0]"
389,-0.0021068472535740847,0.00093980406296438,"[-0.0030097817908201208, -0.0022573363431150906, -0.0022573363431150906, -0.003762227238525151, -0.0022573363431150906, -0.0015048908954100604, -0.0030097817908201208, -0.0015048908954100604, -0.0007524454477050302, -0.0007524454477050302]"
380.4,-0.0023325808878855935,0.0006250281311450678,"[-0.0022573363431150906, -0.0022573363431150906, -0.0030097817908201208, -0.0030097817908201208, -0.0022573363431150906, -0.0022573363431150906, -0.0022573363431150906, -0.0030097817908201208, -0.0022573363431150906, -0.0007524454477050302]"
389.2,-0.0023325808878856048,0.000918476720521736,"[-0.004514672686230292, -0.0022573363431150906, -0.0022573363431150906, -0.0022573363431150906, -0.0015048908954100604, -0.0030097817908201208, -0.0022573363431150906, -0.0022573363431150906, -0.0022573363431150906, -0.0007524454477050302]"
313,-0.024981188863807346,0.0013375762855252992,"[-0.02483069977426633, -0.02558314522197136, -0.0240782543265613, -0.02483069977426633, -0.02633559066967639, -0.02332580887885627, -0.02332580887885627, -0.0240782543265613, -0.02558314522197136, -0.02784048156508656]"
