feature,importance_mean,importance_std,importance_values
313.2,0.06797287113790504,0.003103430336393971,"[0.06631499623210246, 0.06706857573474001, 0.0685757347400151, 0.061039939713639746, 0.07083647324792763, 0.07083647324792763, 0.07008289374529009, 0.06480783722682748, 0.07159005275056518, 0.0685757347400151]"
315.2,0.027279577995478532,0.004179479916763236,"[0.02788244159758857, 0.028636021100226117, 0.03240391861341374, 0.029389600602863553, 0.0301431801055011, 0.027128862094951023, 0.019593067068575776, 0.02110022607385076, 0.03240391861341374, 0.024114544084400946]"
315,0.0241145440844009,0.003827709148214115,"[0.0233609645817634, 0.02110022607385076, 0.027128862094951023, 0.027128862094951023, 0.024868123587038382, 0.026375282592313476, 0.016578749058025588, 0.01883948756593823, 0.02788244159758857, 0.02788244159758857]"
389,0.00753579502637527,0.002717069536898249,"[0.0067822155237377, 0.008289374529012794, 0.0030143180105500766, 0.01130369253956287, 0.01130369253956287, 0.009796533534287888, 0.009042954031650341, 0.005275056518462717, 0.0045214770158251705, 0.006028636021100264]"
313,0.007460437076111504,0.0023457999120231185,"[0.007535795026375247, 0.0037678975131876236, 0.012810851544837965, 0.007535795026375247, 0.007535795026375247, 0.009042954031650341, 0.008289374529012794, 0.0067822155237377, 0.0045214770158251705, 0.0067822155237377]"
367,0.0036171816126601363,0.0020444099421628656,"[0.006028636021100264, 0.0045214770158251705, 0.0037678975131876236, 0.0037678975131876236, 0.0045214770158251705, -0.0015071590052750938, 0.0015071590052750938, 0.0045214770158251705, 0.005275056518462717, 0.0037678975131876236]"
292,0.0028636021100225894,0.002072001067802201,"[0.0030143180105500766, 0.005275056518462717, 0.0030143180105500766, 0.0037678975131876236, 0.0030143180105500766, 0.0045214770158251705, 0.005275056518462717, 0.0, 0.0022607385079125297, -0.0015071590052750938]"
333.3,0.0008289374529013016,0.0004058149816981641,"[0.0, 0.0007535795026375469, 0.0007535795026375469, 0.0007535795026375469, 0.0015071590052750938, 0.0007535795026375469, 0.0007535795026375469, 0.0007535795026375469, 0.0007535795026375469, 0.0015071590052750938]"
389.2,7.535795026374359e-05,0.0010894372490430312,"[0.0, 0.0007535795026375469, 0.0022607385079125297, -0.0007535795026375469, -0.0015071590052750938, 0.0, 0.0, 0.0007535795026375469, -0.0015071590052750938, 0.0007535795026375469]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
315.1,0.0,0.0008255049849362165,"[0.0, 0.0, 0.0007535795026375469, 0.0, 0.0, 0.0007535795026375469, 0.0, 0.0007535795026375469, -0.0022607385079126407, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,-7.535795026375469e-05,0.0002260738507912641,"[0.0, 0.0, 0.0, 0.0, -0.0007535795026375469, 0.0, 0.0, 0.0, 0.0, 0.0]"
367.8,-0.0007535795026375469,0.0005837201727516974,"[-0.0007535795026375469, -0.0022607385079126407, -0.0007535795026375469, 0.0, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, 0.0]"
381,-0.0008289374529012905,0.0008559017853504486,"[0.0, 0.0, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0015071590052750938, -0.0007535795026375469, -0.0030143180105500766, -0.0007535795026375469, 0.0]"
292.1,-0.002712886209495102,0.0009650526356341667,"[-0.0015071590052750938, -0.0030143180105500766, -0.0030143180105500766, -0.0022607385079126407, -0.0030143180105500766, -0.0045214770158251705, -0.0015071590052750938, -0.0037678975131876236, -0.0015071590052750938, -0.0030143180105500766]"
