Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
134.1	Intestinal helminthiases	1	0.0	0	0	0	0	0	0	0	0	1000.0
244.5	Congenital hypothyroidism	2	0.0	0	0	0	0	0	0	0	0	1000.0
446.5	Giant cell arteritis	1	0.0	0	0	0	0	0	0	0	0	1000.0
290.13	Senile dementia	1	0.0	0	0	0	0	0	0	0	0	1000.0
305.21	Anorexia nervosa	1	0.0	0	0	0	0	0	0	0	0	1000.0
443.7	Peripheral angiopathy in diseases classified elsewhere	1	0.0	0	0	0	0	0	0	0	0	1000.0
362.9	Retinal edema	1	0.0	0	0	0	0	0	0	0	0	1000.0
270.2	Disorders of amino-acid metabolism	1	0.0	0	0	0	0	0	0	0	0	1000.0
270.34	Alpha-1-antitrypsin deficiency	1	0.0	0	0	0	0	0	0	0	0	1000.0
259.3	Delay in sexual development and puberty NEC	3	0.0	0	0	0	0	0	0	0	0	1000.0
250.15	Diabetes type 1 with peripheral circulatory disorders	1	0.0	0	0	0	0	0	0	0	0	1000.0
695.2	Bullous dermatoses	5	0.0	0	0	0	0	0	0	0	0	1000.0
695.21	Dermatitis herpetiformis	5	0.0	0	0	0	0	0	0	0	0	1000.0
751.21	Cystic kidney disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
711.2	Reiter's disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
988	Toxic effect of noxious substances eaten as food	3	0.0	0	0	0	0	0	0	0	0	1000.0
962.2	Insulins and antidiabetic agents causing adverse effects in therapeutic use	1	0.0	0	0	0	0	0	0	0	0	1000.0
750.14	Congenital anomalies of esophagus	1	0.0	0	0	0	0	0	0	0	0	1000.0
537.1	Lesions of stomach and duodenum	1	0.0	0	0	0	0	0	0	0	0	1000.0
609	Male infertility and abnormal spermatozoa	1	0.0	0	0	0	0	0	0	0	0	1000.0
523.32	Chronic periodontitis	1	0.0	0	0	0	0	0	0	0	0	1000.0
609.1	Infertility, male	1	0.0	0	0	0	0	0	0	0	0	1000.0
614.32	Chronic inflammatory pelvic disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
601.8	Other inflammatory disorders of male genital organs	1	0.0	0	0	0	0	0	0	0	0	1000.0
612.3	Congenital anomalies of breast	1	0.0	0	0	0	0	0	0	0	0	1000.0
557.1	Celiac disease	86	0.0	0	0	0	0	1	2	2	4	21.5
557	Intestinal malabsorption (non-celiac)	86	0.0	0	0	0	1	2	3	3	6	14.33
253.5	Pituitary dwarfism	4	0.0	0	0	0	0	1	1	1	1	4.0
535.6	Duodenitis	18	0.0	0	0	0	0	2	2	3	5	3.6
070.4	Chronic hepatitis	7	0.0	0	0	0	0	1	1	2	2	3.5
537	Other disorders of stomach and duodenum	35	0.0	0	1	1	3	6	6	8	10	3.5
535	Gastritis and duodenitis	42	0.0	0	1	2	4	6	7	8	12	3.5
535.2	Atrophic gastritis	25	0.0	0	0	0	2	4	4	6	8	3.12
715.1	Sacroiliitis NEC	6	0.0	0	0	0	0	1	1	2	2	3.0
728.2	Laxity of ligament or hypermobility syndrome	8	0.0	0	0	0	0	1	2	2	3	2.67
528.12	Oral aphthae	5	0.0	0	0	0	0	1	1	2	2	2.5
250.21	Type 2 diabetes with ketoacidosis	5	0.0	0	0	0	0	1	1	2	2	2.5
250.1	Type 1 diabetes	17	0.0	0	0	0	2	4	4	6	7	2.43
279.7	Other immunological findings	23	0.0	0	1	1	3	5	6	8	10	2.3
535.8	Other specified gastritis	18	0.0	0	0	0	2	3	4	5	8	2.25
558	Noninfectious gastroenteritis	25	0.0	1	2	2	4	7	8	9	12	2.08
448	Disease of capillaries	2	0.0	0	0	0	0	0	1	1	1	2.0
260.22	Nutritional marasmus	2	0.0	0	0	0	0	1	1	1	1	2.0
588.2	Secondary hyperparathyroidism (of renal origin)	2	0.0	0	0	0	0	1	1	1	1	2.0
292.12	Symbolic dysfunction	2	0.0	0	0	0	0	1	1	1	1	2.0
561.1	Diarrhea	44	0.0	5	7	8	11	15	16	18	22	2.0
722.7	Intervertebral disc disorder with myelopathy	2	0.0	0	0	0	0	0	1	1	1	2.0
280.1	Iron deficiency anemias, unspecified or not due to blood loss	26	0.0	1	2	3	5	8	8	10	14	1.86
245.21	Chronic lymphocytic thyroiditis	7	0.0	0	0	0	0	1	2	2	4	1.75
245.2	Chronic thyroiditis	7	0.0	0	0	0	0	1	2	2	4	1.75
280	Iron deficiency anemias	28	0.0	1	3	3	6	9	10	12	16	1.75
561	Symptoms involving digestive system	46	0.0	9	11	12	16	20	21	23	28	1.64
930	Allergic reaction to food	21	0.0	1	1	2	4	7	8	9	13	1.62
790	Nonspecific findings on examination of blood	36	0.0	6	8	9	12	16	17	19	23	1.57
279	Disorders involving the immune mechanism	31	0.0	2	3	4	7	10	11	13	20	1.55
261	Vitamin deficiency	35	0.0	7	9	10	13	17	18	20	23	1.52
756.3	Congenital anomalies of muscle, tendon, fascia, and connective tissue	3	0.0	0	0	0	0	1	1	1	2	1.5
577.2	Chronic pancreatitis	3	0.0	0	0	0	0	1	1	1	2	1.5
743.12	Senile osteoporosis	6	0.0	0	0	0	0	1	2	2	4	1.5
368.9	Subjective visual disturbances	9	0.0	0	0	0	1	3	4	5	6	1.5
536	Disorders of function of stomach	12	0.0	0	0	1	2	4	5	6	8	1.5
564	Functional digestive disorders	28	0.0	4	5	6	9	12	13	15	19	1.47
472	Chronic pharyngitis and nasopharyngitis	19	0.0	1	2	2	4	7	8	9	13	1.46
279.1	Immunity deficiency	16	0.0	1	1	2	4	6	7	9	11	1.45
573.7	Abnormal results of function study of liver	16	0.0	0	1	2	4	6	7	8	11	1.45
1002	Symptoms concerning nutrition, metabolism, and development	23	0.0	2	4	4	7	10	11	13	16	1.44
530.14	Reflux esophagitis	10	0.0	0	0	0	1	3	3	4	7	1.43
790.6	Other abnormal blood chemistry	30	0.0	5	7	8	11	14	15	17	21	1.43
564.9	Personal history of diseases of digestive system	10	0.0	0	0	0	1	3	4	5	7	1.43
536.8	Dyspepsia and other specified disorders of function of stomach	10	0.0	0	0	0	1	3	4	5	7	1.43
280.2	Iron deficiency anemia secondary to blood loss (chronic)	10	0.0	0	0	0	2	3	4	5	7	1.43
262	Mineral deficiency NEC	7	0.0	0	0	0	0	2	2	3	5	1.4
261.4	Vitamin D deficiency	28	0.0	5	7	8	11	14	15	17	20	1.4
715	Other inflammatory spondylopathies	7	0.0	0	0	0	1	2	2	3	5	1.4
750	Digestive congenital anomalies	7	0.0	0	0	0	1	2	3	4	5	1.4
573	Other disorders of liver	30	0.0	6	7	8	12	15	16	18	22	1.36
579	Other symptoms involving abdomen and pelvis	23	0.0	3	4	5	8	11	12	13	17	1.35
264.2	Failure to thrive (childhood)	8	0.0	0	0	0	1	3	3	4	6	1.33
250.11	Type 1 diabetes with ketoacidosis	4	0.0	0	0	0	0	1	1	2	3	1.33
250.12	Type 1 diabetes with renal manifestations	4	0.0	0	0	0	0	1	1	2	3	1.33
264.1	Short stature	8	0.0	0	0	0	1	2	3	3	6	1.33
536.3	Gastroparesis	4	0.0	0	0	0	0	1	1	2	3	1.33
277.4	Disorders of bilirubin excretion	4	0.0	0	0	0	0	1	1	2	3	1.33
785	Abdominal pain	61	0.0	21	24	25	30	35	37	39	46	1.33
728	Disorders of muscle, ligament, and fascia	13	0.0	0	1	1	3	5	6	7	10	1.3
389.1	Sensorineural hearing loss	13	0.0	0	1	2	4	6	7	8	10	1.3
565	Anal and rectal conditions	13	0.0	0	1	1	3	6	6	8	10	1.3
245	Thyroiditis	9	0.0	0	0	0	2	4	4	5	7	1.29
250.3	Insulin pump user	19	0.0	2	3	3	6	9	10	11	15	1.27
244.2	Acquired hypothyroidism	10	0.0	0	0	1	2	4	5	6	8	1.25
208	Benign neoplasm of colon	20	0.0	2	3	4	7	10	11	12	16	1.25
758.1	Chromosomal anomalies	5	0.0	0	0	0	0	1	2	2	4	1.25
531.3	Duodenal ulcer	5	0.0	0	0	0	0	1	2	2	4	1.25
264	Lack of normal physiological development	15	0.0	1	2	3	5	7	8	9	12	1.25
381.9	Otorrhea	5	0.0	0	0	0	1	2	2	3	4	1.25
788	Syncope and collapse	21	0.0	2	4	4	7	10	11	13	17	1.24
530	Diseases of esophagus	45	0.0	15	17	18	23	27	29	31	37	1.22
246	Other disorders of thyroid	11	0.0	0	1	1	3	5	5	7	9	1.22
555.2	Ulcerative colitis	6	0.0	0	0	0	1	2	3	3	5	1.2
530.1	Esophagitis, GERD and related diseases	42	0.0	14	16	17	21	26	27	30	35	1.2
530.2	Esophageal bleeding (varices/hemorrhage)	6	0.0	0	0	0	1	2	3	4	5	1.2
687.1	Rash and other nonspecific skin eruption	25	0.0	4	6	7	10	13	14	16	21	1.19
563	Constipation	31	0.0	7	8	9	13	17	18	20	26	1.19
550	Abdominal hernia	20	0.0	3	4	5	8	11	12	13	17	1.18
569	Other disorders of intestine	20	0.0	2	3	4	7	10	11	13	17	1.18
337	Disorders of the autonomic nervous system	7	0.0	0	0	0	1	2	3	4	6	1.17
743.13	Other specified osteoporosis	7	0.0	0	0	0	1	2	3	3	6	1.17
579.8	Nonspecific abnormal findings in stool contents	7	0.0	0	0	0	1	3	3	4	6	1.17
357	Inflammatory and toxic neuropathy	14	0.0	0	1	2	4	6	7	9	12	1.17
550.2	Diaphragmatic hernia	14	0.0	1	2	2	5	7	8	9	12	1.17
244.4	Hypothyroidism NOS	23	0.0	4	5	6	9	13	14	16	20	1.15
1010.5	NA	67	0.0	36	38	39	44	49	50	53	59	1.14
244	Hypothyroidism	24	0.0	5	6	7	10	14	15	17	21	1.14
577	Diseases of pancreas	9	0.0	0	0	0	2	4	4	6	8	1.12
427.9	Palpitations	18	0.0	2	4	4	7	10	11	13	16	1.12
789	Nausea and vomiting	39	0.0	13	15	16	20	25	26	29	35	1.11
251	Other disorders of pancreatic internal secretion	10	0.0	0	0	1	2	4	5	6	9	1.11
259	Other endocrine disorders	10	0.0	0	0	1	2	4	5	6	9	1.11
270	Disorders of protein plasma/amino-acid transport and metabolism	11	0.0	0	1	1	3	5	5	6	10	1.1
793	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	11	0.0	0	1	1	3	5	6	7	10	1.1
1010	Other tests	82	0.0	57	59	60	64	68	69	71	75	1.09
798	Malaise and fatigue	47	0.0	20	22	23	28	33	34	36	43	1.09
261.2	Vitamin B-complex deficiencies	12	0.0	0	1	1	3	5	6	7	11	1.09
277	Other disorders of metabolism	12	0.0	1	1	2	4	6	7	9	11	1.09
530.11	GERD	36	0.0	13	15	16	21	25	26	29	33	1.09
572	Ascites (non malignant)	12	0.0	0	1	2	3	6	6	8	11	1.09
1010.7	Persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances	53	0.0	29	31	32	37	41	42	45	49	1.08
278.4	Abnormal weight gain	14	0.0	1	2	2	5	7	8	9	13	1.08
743.11	Osteoporosis NOS	13	0.0	1	2	2	5	7	8	9	12	1.08
743.1	Osteoporosis	14	0.0	1	2	3	5	7	8	10	13	1.08
306	Other mental disorder	41	0.0	17	19	21	25	30	31	33	38	1.08
455	Hemorrhoids	15	0.0	1	2	3	5	8	8	10	14	1.07
722	Intervertebral disc disorders	19	0.0	4	5	6	9	12	13	15	18	1.06
288	Diseases of white blood cells	23	0.0	6	7	8	11	15	16	17	22	1.05
427	Cardiac dysrhythmias	40	0.0	16	18	20	24	29	30	33	38	1.05
743	Osteoporosis, osteopenia and pathological fracture	20	0.0	5	7	8	11	14	15	16	19	1.05
771	Musculoskeletal symptoms referable to limbs	20	0.0	3	5	6	9	13	14	16	19	1.05
979	Adverse drug events and drug allergies	20	0.0	4	5	6	9	13	14	15	19	1.05
772	Symptoms of the muscles	30	0.0	8	10	11	15	18	20	22	29	1.03
