Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
172.3	Carcinoma in situ of skin	1	0.0	0	0	0	0	0	0	0	0	1000.0
290.12	Dementia with cerebral degenerations	1	0.0	0	0	0	0	0	0	0	0	1000.0
668	Complications of the administration of anesthetic or other sedation in labor and delivery	1	0.0	0	0	0	0	0	0	0	0	1000.0
609.11	Azoospermia and oligospermia	1	0.0	0	0	0	0	0	0	0	0	1000.0
716.3	Kaschin-Beck disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
313.2	Tics and stuttering	221	0.0	5	7	8	12	16	17	20	27	8.19
315.2	Speech and language disorder	615	0.0	71	76	79	89	99	102	108	120	5.12
315	Develomental delays and disorders	644	0.0	109	116	119	131	143	147	153	167	3.86
290.11	Alzheimer's disease	3	0.0	0	0	0	0	1	1	1	1	3.0
292.1	Aphasia/speech disturbance	101	0.0	16	19	21	27	33	35	38	45	2.24
386.1	Meniere's disease	2	0.0	0	0	0	0	0	1	1	1	2.0
313	Pervasive developmental disorders	340	0.0	128	134	137	150	162	166	173	182	1.87
333.3	Tics and choreas	14	0.0	0	0	1	3	5	5	7	10	1.4
315.1	Learning disorder	46	0.0	10	13	14	19	24	26	29	36	1.28
389	Hearing loss	181	0.0	95	101	104	115	126	130	136	150	1.21
292	Neurological disorders	139	0.0	71	76	79	89	100	102	108	122	1.14
367.8	Hypermetropia	46	0.0	13	16	17	23	29	30	34	42	1.1
389.2	Conductive hearing loss	82	0.0	38	41	44	52	60	62	66	77	1.06
380.4	Impacted cerumen	70	0.0	32	36	38	46	54	56	60	68	1.03
381.1	Otitis media	262	0.0	192	199	204	217	232	236	244	260	1.01
381	Otitis media and Eustachian tube disorders	277	0.0	204	212	216	230	245	249	257	276	1.0
