feature,importance_mean,importance_std,importance_values
315.2,0.04108352144469525,0.004616361670482455,"[0.0481565086531226, 0.036869826937547034, 0.039127163280662125, 0.04288939051918739, 0.0504138449962378, 0.039879608728367155, 0.034612490594431944, 0.040632054176072185, 0.039127163280662125, 0.039127163280662125]"
315,0.018660647103085005,0.002645356784235812,"[0.016553799849510886, 0.016553799849510886, 0.017306245297215916, 0.020316027088036148, 0.02483069977426633, 0.018811136192625977, 0.02106847253574118, 0.018811136192625977, 0.015801354401805856, 0.016553799849510886]"
389,0.004439428141459733,0.0020592824956213907,"[0.006772009029345383, 0.003762227238525151, 0.0030097817908201208, 0.006772009029345383, 0.005267118133935322, 0.0022573363431150906, 0.006772009029345383, 0.0060195635816403525, 0.0007524454477050302, 0.0030097817908201208]"
381,0.0010534236267870424,0.000963600336709218,"[0.0030097817908201208, 0.0015048908954100604, 0.0015048908954100604, 0.0007524454477050302, 0.0, 0.0, 0.0007524454477050302, 0.0007524454477050302, 0.0, 0.0022573363431150906]"
380.4,0.0006772009029345271,0.0006250281311450678,"[0.0, 0.0007524454477050302, 0.0007524454477050302, 0.0007524454477050302, 0.0, 0.0015048908954100604, 0.0015048908954100604, 0.0, 0.0, 0.0015048908954100604]"
381.1,0.00015048908954100603,0.00030097817908201205,"[0.0007524454477050302, 0.0, 0.0007524454477050302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
367.8,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
389.2,-7.524454477050301e-05,0.00022573363431150907,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0007524454477050302, 0.0]"
292,-0.0003762227238525151,0.0015142672533858394,"[0.0, 0.0, -0.0015048908954100604, -0.0022573363431150906, -0.0007524454477050302, 0.0, 0.0, -0.0030097817908201208, 0.0022573363431150906, 0.0015048908954100604]"
315.1,-0.0007524454477050302,0.0008903054602106137,"[-0.0030097817908201208, -0.0007524454477050302, 0.0, -0.0007524454477050302, -0.0007524454477050302, -0.0015048908954100604, 0.0, -0.0007524454477050302, 0.0, 0.0]"
333.3,-0.0008276899924755332,0.00022573363431150904,"[-0.0007524454477050302, -0.0007524454477050302, -0.0007524454477050302, -0.0007524454477050302, -0.0007524454477050302, -0.0015048908954100604, -0.0007524454477050302, -0.0007524454477050302, -0.0007524454477050302, -0.0007524454477050302]"
313,-0.004589917231000773,0.0022434990994545678,"[-0.005267118133935322, -0.0060195635816403525, -0.004514672686230292, 0.0, -0.0015048908954100604, -0.005267118133935322, -0.008276899924755443, -0.0060195635816403525, -0.003762227238525262, -0.005267118133935322]"
292.1,-0.0053423626787058144,0.0014056841002460024,"[-0.0030097817908201208, -0.004514672686230292, -0.006772009029345383, -0.004514672686230292, -0.004514672686230292, -0.0060195635816403525, -0.004514672686230292, -0.008276899924755443, -0.0060195635816403525, -0.005267118133935322]"
