feature,importance_mean,importance_std,importance_values
537,0.030169491525423774,0.009877154091073535,"[0.027118644067796627, 0.04067796610169494, 0.023728813559322104, 0.027118644067796627, 0.02033898305084747, 0.023728813559322104, 0.044067796610169574, 0.0474576271186441, 0.016949152542372947, 0.03050847457627126]"
789,0.01152542372881359,0.004841646392232453,"[0.016949152542372947, 0.013559322033898313, 0.006779661016949157, 0.013559322033898313, 0.01016949152542379, 0.0, 0.013559322033898313, 0.013559322033898313, 0.01016949152542379, 0.016949152542372947]"
250.1,0.008813559322033936,0.002711864406779665,"[0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.013559322033898313, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379]"
531,0.008813559322033936,0.00166067101205642,"[0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379]"
530.2,0.007457627118644084,0.0013559322033898536,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157]"
375.1,0.006101694915254241,0.002033898305084747,"[0.006779661016949157, 0.0, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
279.7,0.004745762711864443,0.004067796610169511,"[0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.0, 0.006779661016949157, 0.01016949152542379, 0.003389830508474634, 0.0, 0.01016949152542379, 0.0]"
531.3,0.003389830508474634,0.0,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
464,0.0030508474576271703,0.0010169491525423902,"[0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
250.21,0.0030508474576271703,0.0010169491525423902,"[0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
702,0.0030508474576271595,0.0018254795956388233,"[0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.0]"
375,0.002711864406779707,0.0013559322033898536,"[0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0]"
216.1,0.002711864406779707,0.0013559322033898536,"[0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0]"
1010.7,0.002711864406779696,0.002955185724434352,"[0.006779661016949157, -0.003389830508474523, 0.0, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0]"
535,0.002711864406779696,0.003650959191277638,"[0.003389830508474634, 0.003389830508474634, 0.0, 0.01016949152542379, 0.0, 0.003389830508474634, 0.0, 0.003389830508474634, -0.003389830508474523, 0.006779661016949157]"
930,0.0023728813559322436,0.0015534154898155653,"[0.003389830508474634, 0.0, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634]"
530.14,0.0023728813559322436,0.0015534154898155653,"[0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.0]"
742,0.0023728813559322436,0.0015534154898155653,"[0.0, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
272.13,0.0023728813559322436,0.0015534154898155653,"[0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.0, 0.003389830508474634, 0.003389830508474634, 0.0]"
