Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
172.3	Carcinoma in situ of skin	1	0.0	0	0	0	0	0	0	0	0	1000.0
609.11	Azoospermia and oligospermia	1	0.0	0	0	0	0	0	0	0	0	1000.0
609.1	Infertility, male	3	0.0	0	0	0	0	0	0	0	0	1000.0
668	Complications of the administration of anesthetic or other sedation in labor and delivery	1	0.0	0	0	0	0	0	0	0	0	1000.0
716.3	Kaschin-Beck disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
313.2	Tics and stuttering	221	0.0	6	8	9	13	17	18	21	26	8.5
315.2	Speech and language disorder	615	0.0	70	75	77	88	98	101	106	119	5.17
315	Develomental delays and disorders	644	0.0	109	115	118	130	142	145	152	168	3.83
292.1	Aphasia/speech disturbance	101	0.0	16	19	21	26	32	34	38	44	2.3
313	Pervasive developmental disorders	340	0.0	131	137	140	153	166	169	176	191	1.78
333.3	Tics and choreas	14	0.0	0	0	1	3	5	6	7	9	1.56
315.1	Learning disorder	46	0.0	9	12	13	18	23	24	27	35	1.31
389	Hearing loss	181	0.0	96	101	104	116	127	130	137	151	1.2
292	Neurological disorders	139	0.0	70	76	78	88	99	102	108	119	1.17
367.8	Hypermetropia	46	0.0	13	15	17	22	28	29	33	41	1.12
389.2	Conductive hearing loss	82	0.0	36	40	42	50	59	61	65	77	1.06
367	Disorders of refraction and accommodation; blindness and low vision	95	0.0	51	55	58	67	76	79	84	94	1.01
381	Otitis media and Eustachian tube disorders	277	0.0	207	214	219	233	248	252	260	273	1.01
381.1	Otitis media	262	0.0	194	202	205	220	234	238	246	261	1.0
