Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
172.3	Carcinoma in situ of skin	1	0.0	0	0	0	0	0	0	0	0	1000.0
290.12	Dementia with cerebral degenerations	1	0.0	0	0	0	0	0	0	0	0	1000.0
668	Complications of the administration of anesthetic or other sedation in labor and delivery	1	0.0	0	0	0	0	0	0	0	0	1000.0
716.3	Kaschin-Beck disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
313.2	Tics and stuttering	221	0.0	6	8	9	13	17	19	21	28	7.89
315.2	Speech and language disorder	615	0.0	70	75	78	87	98	101	106	122	5.04
315	Develomental delays and disorders	644	0.0	108	114	117	129	141	144	151	164	3.93
290.11	Alzheimer's disease	3	0.0	0	0	0	0	1	1	1	1	3.0
292.1	Aphasia/speech disturbance	101	0.0	15	18	20	25	31	33	36	45	2.24
909	Late effects of external causes	2	0.0	0	0	0	0	0	1	1	1	2.0
313	Pervasive developmental disorders	340	0.0	126	133	136	149	161	165	171	191	1.78
609.1	Infertility, male	3	0.0	0	0	0	0	1	1	2	2	1.5
333.3	Tics and choreas	14	0.0	0	1	1	3	6	6	8	11	1.27
315.1	Learning disorder	46	0.0	10	13	14	19	24	26	29	37	1.24
367.8	Hypermetropia	46	0.0	12	15	16	22	28	29	33	38	1.21
389	Hearing loss	181	0.0	97	103	106	117	129	132	139	153	1.18
292	Neurological disorders	139	0.0	67	72	75	85	95	98	103	125	1.11
389.2	Conductive hearing loss	82	0.0	38	43	45	53	61	63	68	77	1.06
367	Disorders of refraction and accommodation; blindness and low vision	95	0.0	49	53	56	65	74	76	81	91	1.04
381.1	Otitis media	262	0.0	193	200	204	218	232	237	244	257	1.02
381	Otitis media and Eustachian tube disorders	277	0.0	206	213	218	232	246	251	258	274	1.01
