feature,importance_mean,importance_std,importance_values
315.2,0.1504144687264506,0.005621117166231054,"[0.14770158251695553, 0.14016578749058017, 0.1590052750565184, 0.14920874152223051, 0.1605124340617935, 0.14996232102486806, 0.15297663903541814, 0.14694800301431798, 0.14996232102486806, 0.14770158251695553]"
389,0.009721175584024078,0.002062386161779056,"[0.012810851544837965, 0.010550113036925324, 0.01130369253956287, 0.009796533534287777, 0.0067822155237377, 0.0067822155237377, 0.009042954031650341, 0.012810851544837965, 0.008289374529012794, 0.009042954031650341]"
292,0.003993971363978865,0.0017527812132046765,"[0.0030143180105500766, 0.0067822155237377, 0.0030143180105500766, 0.0030143180105500766, 0.007535795026375247, 0.0037678975131876236, 0.0030143180105500766, 0.0015071590052749828, 0.0045214770158251705, 0.0037678975131876236]"
381,0.002788244159758824,0.0012632294358884929,"[0.0037678975131876236, 0.0037678975131876236, 0.0030143180105500766, 0.0037678975131876236, 0.0022607385079125297, 0.0045214770158251705, 0.0022607385079125297, 0.0, 0.0015071590052749828, 0.0030143180105500766]"
367,7.535795026372138e-05,0.0007867600986367963,"[0.0, -0.0015071590052750938, 0.0015071590052749828, 0.0007535795026374359, 0.0, 0.0, 0.0, 0.0007535795026374359, 0.0, -0.0007535795026375469]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
909,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
367.8,-2.2204460492503132e-17,0.00047660552527026745,"[0.0, 0.0, 0.0, 0.0, -0.0007535795026375469, -0.0007535795026375469, 0.0, 0.0, 0.0007535795026374359, 0.0007535795026374359]"
389.2,-5.551115123125783e-17,0.0011177390334733306,"[0.0007535795026374359, -0.0022607385079126407, 0.0007535795026374359, 0.0015071590052749828, -0.0007535795026375469, 0.0, -0.0015071590052750938, 0.0007535795026374359, 0.0007535795026374359, 0.0]"
333.3,-7.535795026375469e-05,0.0002260738507912641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0007535795026375469, 0.0, 0.0, 0.0]"
315.1,-0.00022607385079126407,0.0003453335113003733,"[-0.0007535795026375469, 0.0, -0.0007535795026375469, 0.0, -0.0007535795026375469, 0.0, 0.0, 0.0, 0.0, 0.0]"
381.1,-0.003843255463451445,0.0015240202272913815,"[-0.0045214770158251705, -0.007535795026375358, -0.0022607385079126407, -0.0030143180105501877, -0.0037678975131877346, -0.0037678975131877346, -0.0022607385079126407, -0.0045214770158251705, -0.0045214770158251705, -0.0022607385079126407]"
292.1,-0.004822908816880222,0.0017576343315283541,"[-0.0045214770158251705, -0.008289374529012905, -0.0030143180105501877, -0.0045214770158251705, -0.0045214770158251705, -0.006028636021100264, -0.005275056518462717, -0.0022607385079126407, -0.0030143180105501877, -0.006782215523737811]"
313,-0.006631499623210302,0.0016092054637575485,"[-0.006028636021100264, -0.009042954031650341, -0.008289374529012905, -0.008289374529012905, -0.006028636021100264, -0.007535795026375358, -0.0037678975131877346, -0.006028636021100264, -0.0045214770158251705, -0.006782215523737811]"
315,-0.007234363225320317,0.0017576343315283322,"[-0.007535795026375358, -0.009796533534287888, -0.007535795026375358, -0.005275056518462717, -0.009042954031650341, -0.0037678975131877346, -0.006782215523737811, -0.006028636021100264, -0.009042954031650341, -0.007535795026375358]"
