feature,importance_mean,importance_std,importance_values
537,0.040677966101694975,0.005465937456473603,"[0.03728813559322042, 0.04067796610169494, 0.03050847457627126, 0.044067796610169574, 0.044067796610169574, 0.03389830508474578, 0.05084745762711873, 0.04067796610169494, 0.044067796610169574, 0.04067796610169494]"
535,0.021355932203389882,0.006616685185065465,"[0.01016949152542379, 0.027118644067796627, 0.02033898305084747, 0.023728813559322104, 0.016949152542372947, 0.01016949152542379, 0.027118644067796627, 0.023728813559322104, 0.023728813559322104, 0.03050847457627126]"
530.1,0.014237288135593251,0.006025894520213972,"[0.013559322033898313, 0.02033898305084747, 0.023728813559322104, 0.016949152542372947, 0.01016949152542379, 0.006779661016949157, 0.016949152542372947, 0.006779661016949157, 0.02033898305084747, 0.006779661016949157]"
261,0.012203389830508515,0.004841646392232437,"[0.003389830508474634, 0.006779661016949157, 0.013559322033898313, 0.013559322033898313, 0.01016949152542379, 0.016949152542372947, 0.02033898305084747, 0.01016949152542379, 0.01016949152542379, 0.016949152542372947]"
375.1,0.010169491525423768,0.0021439170577412753,"[0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.013559322033898313, 0.006779661016949157, 0.013559322033898313, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379]"
578,0.009830508474576316,0.0018254795956388233,"[0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.013559322033898313, 0.01016949152542379]"
216,0.009830508474576316,0.004137815462960574,"[0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.016949152542372947, 0.003389830508474634, 0.006779661016949157, 0.013559322033898313, 0.013559322033898313, 0.003389830508474634]"
1010.7,0.009491525423728863,0.003953187725318848,"[0.013559322033898313, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.016949152542372947, 0.006779661016949157, 0.01016949152542379]"
561,0.00949152542372883,0.005207556439232974,"[0.0, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.016949152542372947, 0.006779661016949157, 0.016949152542372947, 0.006779661016949157]"
250.1,0.0091525423728814,0.003406737498685061,"[0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.016949152542372947, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379]"
244,0.008813559322033948,0.0022485591799019777,"[0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.003389830508474634, 0.006779661016949157]"
375,0.008813559322033936,0.005073433744778216,"[0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.02033898305084747, 0.003389830508474634, 0.003389830508474634, 0.013559322033898313, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379]"
279.7,0.008474576271186463,0.00312526930755691,"[0.01016949152542379, 0.013559322033898313, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157]"
367,0.008474576271186463,0.0037899457245759243,"[0.006779661016949157, 0.016949152542372947, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
790,0.007796610169491558,0.003050847457627118,"[0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.013559322033898313, 0.003389830508474634]"
535.6,0.007796610169491558,0.0037288135593220436,"[0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.016949152542372947, 0.01016949152542379, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379]"
530.2,0.007457627118644094,0.0020338983050847584,"[0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157]"
743,0.007457627118644094,0.0020338983050847584,"[0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
531,0.007457627118644084,0.0025367168723891115,"[0.003389830508474634, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
702,0.007457627118644084,0.0013559322033898536,"[0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
242,0.0071186440677966315,0.0018254795956388233,"[0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.003389830508474634]"
530.11,0.006779661016949179,0.004287834115482543,"[0.006779661016949157, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, -0.003389830508474523, 0.003389830508474634]"
512.8,0.006779661016949168,0.0015159782898303668,"[0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
472,0.006779661016949168,0.0033898305084745783,"[0.0, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.013559322033898313, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
366.2,0.006779661016949157,0.0,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
599,0.006440677966101737,0.0028158046992942626,"[0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634]"
687.1,0.006101694915254252,0.0013559322033898091,"[0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157]"
789,0.0057627118644068,0.0034067374986850385,"[0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, -0.003389830508474523, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
536.8,0.0057627118644068,0.0015534154898155144,"[0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634]"
930,0.004745762711864454,0.0022485591799019573,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
250,0.004745762711864432,0.002248559179901954,"[0.003389830508474634, 0.0, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
245.2,0.004406779661017002,0.002170550588960283,"[0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
245.21,0.004406779661017002,0.002170550588960283,"[0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
550.2,0.004406779661017002,0.002170550588960283,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634]"
573,0.004406779661016991,0.0015534154898155146,"[0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
721,0.004406779661016991,0.0015534154898155146,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634]"
785,0.004406779661016991,0.002647542263019206,"[0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.0, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634]"
216.1,0.004406779661016979,0.003728813559322029,"[0.013559322033898313, 0.0, 0.0, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
573.7,0.004067796610169538,0.0013559322033898091,"[0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
279,0.004067796610169527,0.002955185724434362,"[0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.0, 0.0, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
758,0.003728813559322086,0.0010169491525423568,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634]"
705.3,0.003728813559322086,0.0010169491525423568,"[0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
758.1,0.003728813559322086,0.0010169491525423568,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634]"
264.2,0.003728813559322086,0.0010169491525423568,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
706.8,0.003728813559322086,0.0010169491525423568,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
327.7,0.003728813559322086,0.0010169491525423568,"[0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
726,0.003728813559322075,0.0018254795956388088,"[0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.0]"
479,0.003728813559322075,0.0018254795956388088,"[0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
1010.5,0.003728813559322064,0.0031979597057818867,"[0.0, -0.003389830508474523, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634]"
687.2,0.003389830508474634,0.0,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
742,0.003389830508474634,0.0,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
555.1,0.003389830508474634,0.0,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
