feature,importance_mean,importance_std,importance_values
537,0.026440677966101743,0.00449711835980394,"[0.03050847457627126, 0.027118644067796627, 0.016949152542372947, 0.02033898305084747, 0.03050847457627126, 0.027118644067796627, 0.03050847457627126, 0.03050847457627126, 0.023728813559322104, 0.027118644067796627]"
261,0.01288135593220342,0.0036509591912776257,"[0.02033898305084747, 0.013559322033898313, 0.01016949152542379, 0.006779661016949157, 0.013559322033898313, 0.016949152542372947, 0.01016949152542379, 0.013559322033898313, 0.013559322033898313, 0.01016949152542379]"
790,0.011864406779661052,0.004610667969062855,"[0.01016949152542379, 0.01016949152542379, 0.013559322033898313, 0.006779661016949157, 0.013559322033898313, 0.01016949152542379, 0.02033898305084747, 0.013559322033898313, 0.003389830508474634, 0.016949152542372947]"
561.1,0.010847457627118695,0.003321342024112799,"[0.01016949152542379, 0.016949152542372947, 0.016949152542372947, 0.01016949152542379, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157]"
773,0.008135593220339021,0.003774755500223734,"[0.01016949152542379, 0.003389830508474634, 0.013559322033898313, 0.003389830508474634, 0.006779661016949157, 0.013559322033898313, 0.01016949152542379, 0.01016949152542379, 0.006779661016949157, 0.003389830508474634]"
208,0.00677966101694919,0.0026257514211575727,"[0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.003389830508474634, 0.01016949152542379]"
790.6,0.006779661016949179,0.0021439170577412753,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634]"
264,0.006779661016949168,0.0033898305084745783,"[0.0, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.013559322033898313]"
1002,0.006779661016949157,0.0,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
939,0.006101694915254263,0.0020338983050847362,"[0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
789,0.005762711864406811,0.0021705505889602758,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634]"
798,0.005762711864406811,0.004301212725576131,"[0.0, 0.01016949152542379, 0.0, 0.0, 0.01016949152542379, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, 0.003389830508474634, 0.01016949152542379]"
741,0.0057627118644068,0.0015534154898155146,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.006779661016949157]"
216.1,0.0054237288135593476,0.0016606710120563657,"[0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157]"
1010.2,0.004745762711864443,0.00271186440677966,"[0.01016949152542379, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.0, 0.006779661016949157, 0.003389830508474634]"
530.11,0.004745762711864443,0.0016606710120563657,"[0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
245,0.004406779661017002,0.002170550588960283,"[0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
930,0.004406779661016979,0.0021705505889602758,"[0.003389830508474634, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634]"
535.2,0.004406779661016968,0.005476438786916465,"[0.0, 0.006779661016949157, 0.0, 0.0, 0.006779661016949157, 0.006779661016949157, 0.01016949152542379, -0.006779661016949157, 0.01016949152542379, 0.01016949152542379]"
244.4,0.004067796610169538,0.002536716872389117,"[0.0, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.01016949152542379, 0.003389830508474634, 0.003389830508474634, 0.003389830508474634, 0.006779661016949157, 0.003389830508474634]"
