feature,importance_mean,importance_std,importance_values
315.2,0.1480783722682743,0.007119232715784159,"[0.13941220798794274, 0.15146948003014316, 0.15975885455915595, 0.14920874152223063, 0.15448379804069323, 0.14770158251695553, 0.14468726450640546, 0.13413715146948002, 0.1537302185380558, 0.14619442351168044]"
313,0.061190655614167276,0.0072656945249096935,"[0.061039939713639746, 0.054257724189902046, 0.06179351921627729, 0.04822908816880178, 0.07159005275056518, 0.06330067822155239, 0.061039939713639746, 0.05275056518462695, 0.06706857573474001, 0.07083647324792763]"
292,0.002185380557648797,0.0023457999120231367,"[-0.0022607385079126407, 0.0030143180105500766, 0.005275056518462717, 0.0045214770158251705, -0.0015071590052750938, 0.0015071590052749828, 0.0022607385079125297, 0.0015071590052749828, 0.0037678975131876236, 0.0037678975131876236]"
367,0.0006782215523737478,0.0026202469707179636,"[0.0, 0.0037678975131876236, -0.005275056518462717, 0.0015071590052749828, 0.0015071590052749828, 0.0007535795026375469, -0.0007535795026375469, -0.0015071590052750938, 0.0030143180105500766, 0.0037678975131876236]"
333.3,7.535795026375469e-05,0.0002260738507912641,"[0.0, 0.0, 0.0007535795026375469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
389,-0.0006782215523737922,0.002808537325332957,"[-0.0030143180105500766, 0.0015071590052749828, -0.0022607385079126407, -0.0022607385079126407, -0.0037678975131876236, -0.0037678975131876236, 0.0022607385079125297, -0.0007535795026375469, 0.0, 0.005275056518462717]"
367.8,-0.0009796533534287889,0.0017200771982687824,"[-0.0007535795026375469, 0.0007535795026375469, -0.0037678975131876236, -0.0007535795026375469, 0.0007535795026375469, 0.0007535795026375469, -0.0037678975131876236, -0.0015071590052750938, -0.0022607385079126407, 0.0007535795026375469]"
381,-0.001205727204220064,0.0041984591641851185,"[-0.0022607385079126407, 0.0030143180105500766, -0.0022607385079126407, -0.0045214770158251705, -0.010550113036925435, -0.0030143180105500766, -0.0007535795026375469, 0.0045214770158251705, 0.0007535795026375469, 0.0030143180105500766]"
315.1,-0.0013564431047475844,0.00030143180105501877,"[-0.0015071590052750938, -0.0015071590052750938, -0.0015071590052750938, -0.0015071590052750938, -0.0015071590052750938, -0.0015071590052750938, -0.0007535795026375469, -0.0007535795026375469, -0.0015071590052750938, -0.0015071590052750938]"
389.2,-0.0038432554634514004,0.0019197798346430944,"[-0.005275056518462717, -0.0030143180105500766, -0.0045214770158251705, -0.006028636021100264, -0.007535795026375247, -0.0030143180105500766, -0.0007535795026375469, -0.0022607385079126407, -0.0037678975131876236, -0.0022607385079126407]"
292.1,-0.004898266767143944,0.0010789616475717187,"[-0.006028636021100264, -0.005275056518462717, -0.005275056518462717, -0.0045214770158251705, -0.0037678975131876236, -0.005275056518462717, -0.0030143180105500766, -0.0037678975131876236, -0.005275056518462717, -0.006782215523737811]"
315,-0.007008289374529042,0.0025454929546427337,"[-0.007535795026375247, -0.006028636021100264, -0.009042954031650341, -0.008289374529012794, -0.0007535795026375469, -0.011303692539562982, -0.006782215523737811, -0.006782215523737811, -0.006782215523737811, -0.006782215523737811]"
