feature,importance_mean,importance_std,importance_values
537,0.012881355932203353,0.006745677539705892,"[0.0, 0.023728813559321993, 0.01016949152542368, 0.01016949152542368, 0.01016949152542368, 0.016949152542372836, 0.023728813559321993, 0.01016949152542368, 0.013559322033898313, 0.01016949152542368]"
772,0.009491525423728775,0.0025367168723891176,"[0.01016949152542368, 0.01016949152542368, 0.01016949152542368, 0.003389830508474523, 0.01016949152542368, 0.01016949152542368, 0.013559322033898313, 0.01016949152542368, 0.01016949152542368, 0.006779661016949157]"
512,0.008474576271186429,0.0037899457245759095,"[0.01016949152542368, 0.006779661016949157, 0.013559322033898313, 0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.0, 0.006779661016949157, 0.006779661016949157, 0.013559322033898313]"
244,0.008474576271186418,0.002732968728236795,"[0.006779661016949157, 0.013559322033898313, 0.01016949152542368, 0.01016949152542368, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.01016949152542368, 0.006779661016949157, 0.01016949152542368]"
1010.2,0.007796610169491502,0.0021705505889602758,"[0.003389830508474523, 0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.006779661016949157, 0.01016949152542368, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368]"
1010.7,0.007796610169491491,0.0034067374986850554,"[0.01016949152542368, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.013559322033898313, 0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.01016949152542368]"
261.4,0.007796610169491491,0.0026475422630192,"[0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.003389830508474523, 0.006779661016949157, 0.01016949152542368, 0.003389830508474523]"
479,0.006779661016949134,0.0021439170577412753,"[0.01016949152542368, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.01016949152542368, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
264,0.006440677966101682,0.0028158046992942825,"[0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.013559322033898313, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523]"
535,0.006101694915254219,0.006395919411563806,"[-0.003389830508474634, 0.01016949152542368, 0.0, 0.006779661016949157, 0.0, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.02033898305084747, 0.01016949152542368]"
244.4,0.005762711864406744,0.002647542263019213,"[0.003389830508474523, 0.01016949152542368, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.01016949152542368]"
250.1,0.005423728813559292,0.0022485591799019807,"[0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.01016949152542368, 0.003389830508474523, 0.003389830508474523]"
250,0.004745762711864365,0.0022485591799019777,"[0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.01016949152542368, 0.006779661016949157]"
535.6,0.004406779661016924,0.0037288135593220436,"[0.003389830508474523, 0.003389830508474523, 0.0, 0.006779661016949157, 0.006779661016949157, 0.0, 0.003389830508474523, 0.003389830508474523, 0.013559322033898313, 0.003389830508474523]"
563,0.004067796610169483,0.004233896948066715,"[-0.006779661016949157, 0.006779661016949157, 0.0, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523]"
216.1,0.004067796610169472,0.00253671687238912,"[0.0, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523]"
327,0.0037288135593220193,0.0028158046992942665,"[0.003389830508474523, 0.0, 0.003389830508474523, 0.0, 0.003389830508474523, 0.006779661016949157, 0.0, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157]"
743,0.0037288135593219864,0.0010169491525423902,"[0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
626.1,0.0033898305084745562,0.0026257514211575727,"[0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.0, 0.006779661016949157, 0.0, 0.0]"
535.8,0.003389830508474534,0.0015159782898303668,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523]"
264.1,0.003389830508474534,0.0015159782898303668,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
627.2,0.003389830508474534,0.0015159782898303668,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
773,0.003389830508474534,0.004010901547864139,"[-0.003389830508474634, 0.003389830508474523, 0.01016949152542368, 0.0, 0.003389830508474523, 0.01016949152542368, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523]"
078,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
281,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
743.9,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
702,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
702.2,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
558,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
758.1,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
758,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
536.8,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
798,0.0030508474576270927,0.004406779661016958,"[0.0, -0.003389830508474634, 0.0, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368, 0.006779661016949157, -0.003389830508474634, 0.003389830508474523, 0.003389830508474523]"
464,0.0030508474576270927,0.0031979597057819106,"[0.0, 0.006779661016949157, 0.003389830508474523, -0.003389830508474634, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.0, 0.006779661016949157]"
627,0.003050847457627082,0.0018254795956388088,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.006779661016949157, 0.0, 0.003389830508474523, 0.003389830508474523]"
573,0.003050847457627082,0.0018254795956388088,"[0.006779661016949157, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0]"
264.2,0.0030508474576270705,0.0010169491525423568,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0]"
389.1,0.0030508474576270705,0.0010169491525423568,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
470,0.0030508474576270705,0.0023728813559322137,"[0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, -0.003389830508474634]"
599.5,0.0030508474576270705,0.0010169491525423568,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523]"
561.1,0.0027118644067796295,0.0036509591912776257,"[-0.003389830508474634, 0.003389830508474523, 0.006779661016949157, 0.01016949152542368, 0.0, 0.0, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
483,0.0027118644067796183,0.0025367168723891176,"[-0.003389830508474634, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0]"
531,0.0027118644067796183,0.0013559322033898091,"[0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
476,0.002372881355932166,0.0015534154898155146,"[0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.0, 0.003389830508474523]"
760,0.002372881355932166,0.0015534154898155144,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.0]"
687.1,0.0020338983050847137,0.0016606710120563655,"[0.0, 0.0, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523]"
535.2,0.001355932203389798,0.00434110117792058,"[-0.003389830508474634, 0.0, 0.0, 0.003389830508474523, -0.003389830508474634, 0.003389830508474523, -0.003389830508474634, 0.0, 0.006779661016949157, 0.01016949152542368]"
389,0.001355932203389787,0.002711864406779657,"[0.0, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, -0.003389830508474634, -0.003389830508474634, 0.003389830508474523]"
599,0.001355932203389787,0.004067796610169491,"[0.0, -0.003389830508474634, 0.0, -0.003389830508474634, -0.003389830508474634, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.01016949152542368]"
727,0.0010169491525423568,0.0015534154898155144,"[0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.003389830508474523]"
930,0.0010169491525423458,0.0037288135593220285,"[-0.003389830508474634, 0.003389830508474523, 0.0, 0.01016949152542368, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, -0.003389830508474634]"
741,0.0006779661016949046,0.0013559322033898091,"[0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0]"
253,0.0006779661016949046,0.0013559322033898091,"[0.003389830508474523, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
253.5,0.0006779661016949046,0.0013559322033898091,"[0.003389830508474523, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
280.2,0.0006779661016949046,0.0013559322033898091,"[0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0]"
532,0.0006779661016948935,0.0020338983050847362,"[0.0, 0.0, 0.0, -0.003389830508474634, 0.0, 0.003389830508474523, 0.0, 0.003389830508474523, 0.0, 0.003389830508474523]"
280.1,0.0006779661016948823,0.002536716872389108,"[0.003389830508474523, 0.0, -0.003389830508474634, 0.0, 0.0, -0.003389830508474634, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523]"
259.3,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
253.4,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
698,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
728,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0]"
728.7,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0]"
687.2,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0]"
475,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0, 0.0, 0.0, 0.0]"
727.1,0.0003389830508474523,0.0010169491525423568,"[0.003389830508474523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
242,0.0003389830508474523,0.0010169491525423568,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003389830508474523, 0.0]"
245.21,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
250.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
536,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
514.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
271.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
281.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
510.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
728.71,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
620,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
285.8,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
261.41,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
711.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
750.15,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
715.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
729.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
695.21,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
743.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
281.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
244.5,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
279.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
246.7,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
246,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
690.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
690,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
743.13,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
537.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
695.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
277.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
242.31,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
244.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
270.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
270.34,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
443.7,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
