Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
172.3	Carcinoma in situ of skin	1	0.0	0	0	0	0	0	0	0	0	1000.0
290.12	Dementia with cerebral degenerations	1	0.0	0	0	0	0	0	0	0	0	1000.0
668	Complications of the administration of anesthetic or other sedation in labor and delivery	1	0.0	0	0	0	0	0	0	0	0	1000.0
716.3	Kaschin-Beck disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
313.2	Tics and stuttering	221	0.0	5	7	8	12	16	17	20	27	8.19
315.2	Speech and language disorder	615	0.0	68	73	75	85	95	98	104	116	5.3
315	Develomental delays and disorders	644	0.0	107	113	116	128	139	143	149	162	3.98
290.11	Alzheimer's disease	3	0.0	0	0	0	0	1	1	1	1	3.0
609.1	Infertility, male	3	0.0	0	0	0	0	0	1	1	1	3.0
292.1	Aphasia/speech disturbance	101	0.0	15	18	19	25	31	32	36	45	2.24
386.1	Meniere's disease	2	0.0	0	0	0	0	0	1	1	1	2.0
313	Pervasive developmental disorders	340	0.0	129	136	139	152	165	168	174	195	1.74
367.8	Hypermetropia	46	0.0	12	14	16	21	26	28	31	36	1.28
333.3	Tics and choreas	14	0.0	0	1	1	3	6	6	8	11	1.27
292	Neurological disorders	139	0.0	68	73	75	85	96	98	104	114	1.22
315.1	Learning disorder	46	0.0	11	13	15	20	25	27	30	38	1.21
389	Hearing loss	181	0.0	96	101	104	116	127	130	135	150	1.21
389.2	Conductive hearing loss	82	0.0	38	42	44	52	60	63	67	76	1.08
367	Disorders of refraction and accommodation; blindness and low vision	95	0.0	49	53	56	65	74	77	81	92	1.03
381	Otitis media and Eustachian tube disorders	277	0.0	207	215	219	233	248	252	260	276	1.0
