feature,importance_mean,importance_std,importance_values
315.2,0.04393368500376786,0.004458873305949373,"[0.04220045214770152, 0.04446119065561416, 0.047475508666164234, 0.04370761115297661, 0.045214770158251705, 0.04822908816880178, 0.03767897513187635, 0.03466465712132627, 0.049736247174076875, 0.04596834966088914]"
315,0.036397889977392586,0.004837604776399127,"[0.03541823662396382, 0.036171816126601364, 0.038432554634513894, 0.0369253956292388, 0.03466465712132627, 0.040693293142426534, 0.029389600602863553, 0.02788244159758846, 0.03918613413715144, 0.045214770158251705]"
389,0.009645817633760323,0.003315749811605123,"[0.013564431047475511, 0.009796533534287777, 0.0037678975131876236, 0.012057272042200418, 0.007535795026375247, 0.012810851544837965, 0.014318010550112947, 0.009042954031650341, 0.006028636021100153, 0.007535795026375247]"
367,0.006405425772418927,0.0023409532128122333,"[0.006028636021100153, 0.010550113036925324, 0.006028636021100153, 0.006028636021100153, 0.005275056518462606, 0.0015071590052749828, 0.009042954031650341, 0.008289374529012794, 0.006028636021100153, 0.005275056518462606]"
313,0.0021853805576487863,0.0016664163065181513,"[0.0, 0.0030143180105500766, 0.0037678975131876236, 0.0007535795026374359, 0.005275056518462606, 0.0030143180105500766, 0.0030143180105500766, 0.0007535795026374359, 0.0, 0.0022607385079125297]"
292,0.0015825169555387596,0.001631982503971954,"[0.0030143180105500766, 0.0030143180105500766, 0.0007535795026374359, 0.0045214770158251705, 0.0015071590052749828, 0.0022607385079125297, 0.0015071590052749828, 0.0007535795026374359, 0.0, -0.0015071590052750938]"
315.1,0.0009796533534287,0.00048252631781710683,"[0.0007535795026374359, 0.0007535795026374359, 0.0022607385079125297, 0.0007535795026374359, 0.0007535795026374359, 0.0007535795026374359, 0.0007535795026374359, 0.0007535795026374359, 0.0015071590052749828, 0.0007535795026374359]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
386.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
381,-4.4408920985006264e-17,0.0023348806910067433,"[0.0037678975131876236, -0.0022607385079126407, 0.0, 0.0007535795026374359, -0.0037678975131877346, -0.0022607385079126407, -0.0007535795026375469, -0.0007535795026375469, 0.0022607385079125297, 0.0030143180105500766]"
333.3,-0.00015071590052750938,0.00030143180105501877,"[0.0, -0.0007535795026375469, 0.0, 0.0, -0.0007535795026375469, 0.0, 0.0, 0.0, 0.0, 0.0]"
367.8,-0.0010550113036925657,0.000369177052416464,"[-0.0015071590052750938, -0.0007535795026375469, -0.0015071590052750938, -0.0015071590052750938, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0007535795026375469, -0.0015071590052750938]"
389.2,-0.0018085908063301237,0.001941838542083661,"[-0.0030143180105501877, -0.0007535795026375469, -0.0015071590052750938, -0.0030143180105501877, -0.0045214770158251705, 0.0022607385079125297, -0.0022607385079126407, 0.0007535795026374359, -0.0030143180105501877, -0.0030143180105501877]"
292.1,-0.004672192916352724,0.0009997361839805038,"[-0.0037678975131877346, -0.005275056518462717, -0.0037678975131877346, -0.005275056518462717, -0.006028636021100264, -0.006028636021100264, -0.0037678975131877346, -0.005275056518462717, -0.0030143180105501877, -0.0045214770158251705]"
