feature,importance_mean,importance_std,importance_values
537,0.05355932203389828,0.012108861762367269,"[0.0474576271186441, 0.0610169491525423, 0.037288135593220306, 0.05084745762711862, 0.0474576271186441, 0.037288135593220306, 0.06779661016949146, 0.07457627118644061, 0.0474576271186441, 0.06440677966101693]"
535.2,0.00983050847457625,0.0023728813559322007,"[0.01016949152542368, 0.013559322033898313, 0.006779661016949157, 0.01016949152542368, 0.01016949152542368, 0.01016949152542368, 0.013559322033898313, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368]"
245.21,0.007118644067796609,0.0010169491525423568,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368]"
245.2,0.007118644067796609,0.0010169491525423568,"[0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368]"
245,0.006779661016949145,0.0015159782898303668,"[0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.01016949152542368]"
561.1,0.0064406779661016714,0.002372881355932209,"[0.01016949152542368, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.01016949152542368]"
261,0.005762711864406767,0.004560550524431761,"[0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.016949152542372836, 0.0, 0.006779661016949157, 0.0]"
279.7,0.0047457627118643875,0.0022485591799019807,"[0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.0, 0.006779661016949157]"
573.7,0.004745762711864376,0.0016606710120564202,"[0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
279,0.004406779661016913,0.0015534154898155655,"[0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157]"
250.3,0.0037288135593219972,0.0018254795956388233,"[0.0, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523]"
455,0.0037288135593219864,0.0010169491525423902,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157]"
705.3,0.0037288135593219864,0.0010169491525423902,"[0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
702.1,0.0037288135593219864,0.0010169491525423902,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523]"
564.8,0.0037288135593219864,0.0010169491525423902,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
479,0.003389830508474545,0.0021439170577412753,"[0.006779661016949157, 0.0, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523]"
770,0.003389830508474545,0.0021439170577412753,"[0.006779661016949157, 0.003389830508474523, 0.0, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.0, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
930,0.003389830508474545,0.0021439170577412753,"[0.0, 0.006779661016949157, 0.003389830508474523, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.003389830508474523]"
790.6,0.003389830508474534,0.0015159782898303668,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.0, 0.006779661016949157, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
261.4,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
733,0.003389830508474523,0.0,"[0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523, 0.003389830508474523]"
530,0.0030508474576270927,0.0031979597057819106,"[0.0, 0.006779661016949157, 0.006779661016949157, 0.003389830508474523, -0.003389830508474634, 0.003389830508474523, 0.006779661016949157, 0.0, 0.003389830508474523, 0.003389830508474523]"
