Phecode	Description	Count	p.value	p01	p05	p10	p50	p90	p95	p99	max	case_to_control_ratio
172.3	Carcinoma in situ of skin	1	0.0	0	0	0	0	0	0	0	0	1000.0
290.12	Dementia with cerebral degenerations	1	0.0	0	0	0	0	0	0	0	0	1000.0
771.2	Cramp of limb	1	0.0	0	0	0	0	0	0	0	0	1000.0
716.3	Kaschin-Beck disease	1	0.0	0	0	0	0	0	0	0	0	1000.0
668	Complications of the administration of anesthetic or other sedation in labor and delivery	1	0.0	0	0	0	0	0	0	0	0	1000.0
609.11	Azoospermia and oligospermia	1	0.0	0	0	0	0	0	0	0	0	1000.0
313.2	Tics and stuttering	221	0.0	6	8	9	13	18	19	21	30	7.37
315.2	Speech and language disorder	615	0.0	70	75	77	87	98	101	107	122	5.04
315	Develomental delays and disorders	644	0.0	109	115	118	130	142	145	152	165	3.9
609.1	Infertility, male	3	0.0	0	0	0	0	1	1	1	1	3.0
292.1	Aphasia/speech disturbance	101	0.0	15	18	20	26	32	34	37	44	2.3
909	Late effects of external causes	2	0.0	0	0	0	0	1	1	1	1	2.0
313	Pervasive developmental disorders	340	0.0	129	135	138	151	163	167	174	189	1.8
290.11	Alzheimer's disease	3	0.0	0	0	0	0	1	1	1	2	1.5
315.1	Learning disorder	46	0.0	10	13	14	19	24	26	29	35	1.31
389	Hearing loss	181	0.0	97	103	106	117	129	132	139	150	1.21
292	Neurological disorders	139	0.0	68	73	76	86	96	99	105	119	1.17
367.8	Hypermetropia	46	0.0	12	15	16	22	27	29	32	40	1.15
333.3	Tics and choreas	14	0.0	0	1	1	4	6	7	8	13	1.08
389.2	Conductive hearing loss	82	0.0	37	41	43	51	60	62	66	77	1.06
367	Disorders of refraction and accommodation; blindness and low vision	95	0.0	48	53	55	64	73	76	80	92	1.03
