feature,importance_mean,importance_std,importance_values
315.2,0.16262245666917866,0.008044615611202701,"[0.17106254709871893, 0.1672946495855313, 0.15749811605124342, 0.16428033157498123, 0.17106254709871893, 0.15674453654860587, 0.17030896759608138, 0.14770158251695564, 0.16804822908816885, 0.1522230595327808]"
389,0.014619442351168088,0.003218410927515096,"[0.015071590052750605, 0.0165787490580257, 0.015825169555388152, 0.0165787490580257, 0.010550113036925435, 0.013564431047475511, 0.018085908063300682, 0.019593067068575776, 0.010550113036925435, 0.009796533534287888]"
389.2,0.003315749811605195,0.0008391506198688753,"[0.0037678975131877346, 0.0037678975131877346, 0.0037678975131877346, 0.0022607385079126407, 0.0022607385079126407, 0.005275056518462717, 0.0030143180105501877, 0.0030143180105501877, 0.0030143180105501877, 0.0030143180105501877]"
367,0.0030143180105501655,0.0020220659932175863,"[0.0045214770158251705, 0.0037678975131877346, 0.0030143180105501877, 0.006028636021100264, 0.0045214770158251705, 0.0007535795026375469, -0.0015071590052749828, 0.0030143180105501877, 0.0037678975131877346, 0.0022607385079126407]"
315.1,0.0020346646571213767,0.0010138375318066348,"[0.0015071590052750938, 0.0022607385079126407, 0.0030143180105501877, 0.0007535795026375469, 0.0, 0.0022607385079126407, 0.0030143180105501877, 0.0030143180105501877, 0.0015071590052750938, 0.0030143180105501877]"
292,0.0013564431047475955,0.002691872057195456,"[0.0007535795026375469, 0.0, 0.0030143180105501877, 0.0015071590052750938, 0.0037678975131877346, 0.007535795026375358, 0.0007535795026375469, -0.0022607385079125297, -0.0015071590052749828, 0.0]"
313,0.0012810851544838519,0.001618003809614462,"[0.0007535795026375469, 0.0022607385079126407, 0.0022607385079126407, -0.0022607385079125297, 0.0022607385079126407, -0.0007535795026374359, 0.0015071590052750938, 0.0007535795026375469, 0.0030143180105501877, 0.0030143180105501877]"
172.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
716.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
771.2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
668,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
290.11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
609.1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
909,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
333.3,-0.00022607385079124188,0.0004825263178170652,"[0.0, 0.0, 0.0, -0.0007535795026374359, -0.0015071590052749828, 0.0, 0.0, 0.0, 0.0, 0.0]"
315,-0.00030143180105495214,0.0010222049710814066,"[-0.0007535795026374359, 0.0007535795026375469, -0.0007535795026374359, -0.0007535795026374359, 0.0015071590052750938, -0.0022607385079125297, 0.0007535795026375469, -0.0007535795026374359, -0.0007535795026374359, 0.0]"
367.8,-0.00030143180105497437,0.0006028636021099904,"[0.0007535795026375469, 0.0, -0.0007535795026374359, 0.0, -0.0007535795026374359, 0.0, -0.0007535795026374359, 0.0, -0.0015071590052749828, 0.0]"
292.1,-0.0005275056518462273,0.0011202764692779374,"[0.0007535795026375469, -0.0015071590052749828, 0.0015071590052750938, 0.0, 0.0, 0.0, -0.0007535795026374359, -0.0022607385079125297, -0.0015071590052749828, -0.0015071590052749828]"
